Brand,Category_URL,Price_Rs,Product_Code,Product_Name,Product_URL,Rating,Seller
Voylla,https://www.myntra.com/masks-store,269,11886880,Voylla Unisex 4 Pcs Blue Solid 2-Ply Anti-Dust Reusable Cloth Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-4-pcs-blue-solid-2-ply-anti-dust-reusable-cloth-masks/11886880/buy,2,VOYLLA FASHIONS PVT LTD
Safari,https://www.myntra.com/masks-store,450,11858158,Safari Unisex Black 3 Pcs 3-Ply Reusable Air Pro Fabric Outdoor Masks,https://www.myntra.com/outdoor-masks/safari/safari-unisex-black-3-pcs-3-ply-reusable-air-pro-fabric-outdoor-masks/11858158/buy,0,Indiflashmart
LEGAL BRIBE,https://www.myntra.com/masks-store,324,12142104,LEGAL BRIBE Women 3 Pcs 3 Ply Printed Reusable Cloth Masks,https://www.myntra.com/outdoor-masks/legal-bribe/legal-bribe-women-3-pcs-3-ply-printed-reusable-cloth-masks/12142104/buy,0,Truecom Retail
CODE by Lifestyle,https://www.myntra.com/masks-store,339,12195856,CODE by Lifestyle 4 Pcs 2 Ply Reusable Masks,https://www.myntra.com/outdoor-masks/code-by-lifestyle/code-by-lifestyle-4-pcs-2-ply-reusable-masks/12195856/buy,0,Flashstar Commerce
EUME,https://www.myntra.com/masks-store,199,11938544,EUME Unisex Black 4-Ply Protect+ 95 Reusable Outdoor Mask,https://www.myntra.com/outdoor-masks/eume/eume-unisex-black-4-ply-protect-95-reusable-outdoor-mask/11938544/buy,4.5454545,Avon Lifestyle Pvt Ltd
SIMON CARTER LONDON,https://www.myntra.com/masks-store,499,11980420,SIMON CARTER LONDON Men Assorted Quirky 3Pcs 3 Ply Fabric Mask,https://www.myntra.com/outdoor-masks/simon-carter-london/simon-carter-london-men-assorted-quirky-3pcs-3-ply-fabric-mask/11980420/buy,0,Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle)
Fame Forever by Lifestyle,https://www.myntra.com/masks-store,199,12094848,Fame Forever by Lifestyle Boys Pack Of 2 Black & White 3-Ply Reusable Outdoor Cloth Masks,https://www.myntra.com/outdoor-masks/fame-forever-by-lifestyle/fame-forever-by-lifestyle-boys-pack-of-2-black--white-3-ply-reusable-outdoor-cloth-masks/12094848/buy,0,Truenet Commerce
Roadster,https://www.myntra.com/masks-store,499,11819530,Roadster Adults Multicoloured PRO-TECHT Pack of 4 Reusable 5-Layer Outdoor Masks,https://www.myntra.com/outdoor-masks/roadster/roadster-adults-multicoloured-pro-techt-pack-of-4-reusable-5-layer-outdoor-masks/11819530/buy,3.7916667,Truenet Commerce
Bellofox,https://www.myntra.com/masks-store,165,12170868,Bellofox Women 3 Ply Protective Outdoor Face Masks,https://www.myntra.com/outdoor-masks/bellofox/-bellofox-women-3-ply-protective-outdoor-face-masks/12170868/buy,0,BELLOFOX MODA
Bellofox,https://www.myntra.com/masks-store,165,12170870,Bellofox Women Blue Printed 3-Ply Cloth Mask,https://www.myntra.com/outdoor-masks/bellofox/bellofox-women-blue-printed-3-ply-cloth-mask/12170870/buy,5,BELLOFOX MODA
Allen Solly,https://www.myntra.com/masks-store,354,11956042,Allen Solly Men Multicoloured Pack of 4 3 Ply Fabric Mask,https://www.myntra.com/outdoor-masks/allen-solly/allen-solly-men-multicoloured-pack-of-4-3-ply-fabric-mask/11956042/buy,3.3578947,Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle)
SWAYAM,https://www.myntra.com/ppe-suit,594,11942600,Swayam Unisex Blue Reusable Non Woven Sealed Pre Protective Equipment Kit,https://www.myntra.com/protective-bodysuits/swayam/swayam-unisex-blue-reusable-non-woven-sealed-pre-protective-equipment-kit/11942600/buy,0,LINEN DESIGN
